"id","name"
"1","3Com Corp"
"2","3M Company"
"3","A.G. Edwards Inc."
"4","Abbott Laboratories"
"5","Abercrombie & Fitch Co."
"6","ABM Industries Incorporated"
"7","Ace Hardware Corporation"
"8","ACT Manufacturing Inc."
"9","Acterna Corp."
"10","Adams Resources & Energy, Inc."
"11","ADC Telecommunications, Inc."
"12","Adelphia Communications Corporation"
"13","Administaff, Inc."
"14","Adobe Systems Incorporated"
"15","Adolph Coors Company"
"16","Advance Auto Parts, Inc."
"17","Advanced Micro Devices, Inc."
"18","AdvancePCS, Inc."
"19","Advantica Restaurant Group, Inc."
"20","The AES Corporation"
"21","Aetna Inc."
"22","Affiliated Computer Services, Inc."
"23","AFLAC Incorporated"
"24","AGCO Corporation"
"25","Agilent Technologies, Inc."
"26","Agway Inc."
"27","Apartment Investment and Management Company"
"28","Air Products and Chemicals, Inc."
"29","Airborne, Inc."
"30","Airgas, Inc."
"31","AK Steel Holding Corporation"
"32","Alaska Air Group, Inc."
"33","Alberto-Culver Company"
"34","Albertson's, Inc."
"35","Alcoa Inc."
"36","Alleghany Corporation"
"37","Allegheny Energy, Inc."
"38","Allegheny Technologies Incorporated"
"39","Allergan, Inc."
"40","ALLETE, Inc."
"41","Alliant Energy Corporation"
"42","Allied Waste Industries, Inc."
"43","Allmerica Financial Corporation"
"44","The Allstate Corporation"
"45","ALLTEL Corporation"
"46","The Alpine Group, Inc."
"47","Amazon.com, Inc."
"48","AMC Entertainment Inc."
"49","American Power Conversion Corporation"
"50","Amerada Hess Corporation"
"51","AMERCO"
"52","Ameren Corporation"
"53","America West Holdings Corporation"
"54","American Axle & Manufacturing Holdings, Inc."
"55","American Eagle Outfitters, Inc."
"56","American Electric Power Company, Inc."
"57","American Express Company"
"58","American Financial Group, Inc."
"59","American Greetings Corporation"
"60","American International Group, Inc."
"61","American Standard Companies Inc."
"62","American Water Works Company, Inc."
"63","AmerisourceBergen Corporation"
"64","Ames Department Stores, Inc."
"65","Amgen Inc."
"66","Amkor Technology, Inc."
"67","AMR Corporation"
"68","AmSouth Bancorp."
"69","Amtran, Inc."
"70","Anadarko Petroleum Corporation"
"71","Analog Devices, Inc."
"72","Anheuser-Busch Companies, Inc."
"73","Anixter International Inc."
"74","AnnTaylor Inc."
"75","Anthem, Inc."
"76","AOL Time Warner Inc."
"77","Aon Corporation"
"78","Apache Corporation"
"79","Apple Computer, Inc."
"80","Applera Corporation"
"81","Applied Industrial Technologies, Inc."
"82","Applied Materials, Inc."
"83","Aquila, Inc."
"84","ARAMARK Corporation"
"85","Arch Coal, Inc."
"86","Archer Daniels Midland Company"
"87","Arkansas Best Corporation"
"88","Armstrong Holdings, Inc."
"89","Arrow Electronics, Inc."
"90","ArvinMeritor, Inc."
"91","Ashland Inc."
"92","Astoria Financial Corporation"
"93","AT&T Corp."
"94","Atmel Corporation"
"95","Atmos Energy Corporation"
"96","Audiovox Corporation"
"97","Autoliv, Inc."
"98","Automatic Data Processing, Inc."
"99","AutoNation, Inc."
"100","AutoZone, Inc."
"101","Avaya Inc."
"102","Avery Dennison Corporation"
"103","Avista Corporation"
"104","Avnet, Inc."
"105","Avon Products, Inc."
"106","Baker Hughes Incorporated"
"107","Ball Corporation"
"108","Bank of America Corporation"
"109","The Bank of New York Company, Inc."
"110","Bank One Corporation"
"111","Banknorth Group, Inc."
"112","Banta Corporation"
"113","Barnes & Noble, Inc."
"114","Bausch & Lomb Incorporated"
"115","Baxter International Inc."
"116","BB&T Corporation"
"117","The Bear Stearns Companies Inc."
"118","Beazer Homes USA, Inc."
"119","Beckman Coulter, Inc."
"120","Becton, Dickinson and Company"
"121","Bed Bath & Beyond Inc."
"122","Belk, Inc."
"123","Bell Microproducts Inc."
"124","BellSouth Corporation"
"125","Belo Corp."
"126","Bemis Company, Inc."
"127","Benchmark Electronics, Inc."
"128","Berkshire Hathaway Inc."
"129","Best Buy Co., Inc."
"130","Bethlehem Steel Corporation"
"131","Beverly Enterprises, Inc."
"132","Big Lots, Inc."
"133","BJ Services Company"
"134","BJ's Wholesale Club, Inc."
"135","The Black & Decker Corporation"
"136","Black Hills Corporation"
"137","BMC Software, Inc."
"138","The Boeing Company"
"139","Boise Cascade Corporation"
"140","Borders Group, Inc."
"141","BorgWarner Inc."
"142","Boston Scientific Corporation"
"143","Bowater Incorporated"
"144","Briggs & Stratton Corporation"
"145","Brightpoint, Inc."
"146","Brinker International, Inc."
"147","Bristol-Myers Squibb Company"
"148","Broadwing, Inc."
"149","Brown Shoe Company, Inc."
"150","Brown-Forman Corporation"
"151","Brunswick Corporation"
"152","Budget Group, Inc."
"153","Burlington Coat Factory Warehouse Corporation"
"154","Burlington Industries, Inc."
"155","Burlington Northern Santa Fe Corporation"
"156","Burlington Resources Inc."
"157","C. H. Robinson Worldwide Inc."
"158","Cablevision Systems Corp"
"159","Cabot Corp"
"160","Cadence Design Systems, Inc."
"161","Calpine Corp."
"162","Campbell Soup Co."
"163","Capital One Financial Corp."
"164","Cardinal Health Inc."
"165","Caremark Rx Inc."
"166","Carlisle Cos. Inc."
"167","Carpenter Technology Corp."
"168","Casey's General Stores Inc."
"169","Caterpillar Inc."
"170","CBRL Group Inc."
"171","CDI Corp."
"172","CDW Computer Centers Inc."
"173","CellStar Corp."
"174","Cendant Corp"
"175","Cenex Harvest States Cooperatives"
"176","Centex Corp."
"177","CenturyTel Inc."
"178","Ceridian Corp."
"179","CH2M Hill Cos. Ltd."
"180","Champion Enterprises Inc."
"181","Charles Schwab Corp."
"182","Charming Shoppes Inc."
"183","Charter Communications Inc."
"184","Charter One Financial Inc."
"185","ChevronTexaco Corp."
"186","Chiquita Brands International Inc."
"187","Chubb Corp"
"188","Ciena Corp."
"189","Cigna Corp"
"190","Cincinnati Financial Corp."
"191","Cinergy Corp."
"192","Cintas Corp."
"193","Circuit City Stores Inc."
"194","Cisco Systems Inc."
"195","Citigroup, Inc"
"196","Citizens Communications Co."
"197","CKE Restaurants Inc."
"198","Clear Channel Communications Inc."
"199","The Clorox Co."
"200","CMGI Inc."
"201","CMS Energy Corp."
"202","CNF Inc."
"203","Coca-Cola Co."
"204","Coca-Cola Enterprises Inc."
"205","Colgate-Palmolive Co."
"206","Collins & Aikman Corp."
"207","Comcast Corp."
"208","Comdisco Inc."
"209","Comerica Inc."
"210","Comfort Systems USA Inc."
"211","Commercial Metals Co."
"212","Community Health Systems Inc."
"213","Compass Bancshares Inc"
"214","Computer Associates International Inc."
"215","Computer Sciences Corp."
"216","Compuware Corp."
"217","Comverse Technology Inc."
"218","ConAgra Foods Inc."
"219","Concord EFS Inc."
"220","Conectiv, Inc"
"221","Conoco Inc"
"222","Conseco Inc."
"223","Consolidated Freightways Corp."
"224","Consolidated Edison Inc."
"225","Constellation Brands Inc."
"226","Constellation Emergy Group Inc."
"227","Continental Airlines Inc."
"228","Convergys Corp."
"229","Cooper Cameron Corp."
"230","Cooper Industries Ltd."
"231","Cooper Tire & Rubber Co."
"232","Corn Products International Inc."
"233","Corning Inc."
"234","Costco Wholesale Corp."
"235","Countrywide Credit Industries Inc."
"236","Coventry Health Care Inc."
"237","Cox Communications Inc."
"238","Crane Co."
"239","Crompton Corp."
"240","Crown Cork & Seal Co. Inc."
"241","CSK Auto Corp."
"242","CSX Corp."
"243","Cummins Inc."
"244","CVS Corp."
"245","Cytec Industries Inc."
"246","D&K Healthcare Resources, Inc."
"247","D.R. Horton Inc."
"248","Dana Corporation"
"249","Danaher Corporation"
"250","Darden Restaurants Inc."
"251","DaVita Inc."
